Numero de fournisseur|Nom adresse|ID iValua du site fournisseur|UO
S00114543|FRA14520|114528|DSW0373
101054|FRA34400|30586|DSW0001
32375|FRA51420|17708|DMS0001
57975|FRA72510|21134|DMS0001
31928|FRA82000|103544|DLS0245
S00057940|FRA92110|33455|DEW0001
89248|FRA93190|24027|DRW0001
25739|FRA59770|31602|DCW0001
33122|FRA59960|18938|DEW0001
35964|FRA27016 CEDEO |12209|DSW0001
4515|FRA54180|44981|DCW0402
56514|FRA92000-C|23793|DRW0001
16687|FRA51430|17816|DOS0119
88115|FRA59190|19071|DSW0001
106162|FRA59125|95574|DSW0001
S00063287|FRA34750|63283|DEW0001
17519|FRA07300|21196|DNA0001
S00130303|FRA87140|129790|DNA0001
84581|FRA77600|100557|DRW0001
26358|FRA79401|22599|DCW0001
7062|FRA92230|23702|DRW0001
4926|FRA06560|55518|DEW0930
10064|MCO98013|29610|DEW0930
107477|FRA78660|103494|DMS0001
48961|FRA26200|14926|DMS0001
35964|FRA21304 CLIM +|112626|DMS0001
S00129855|FRA69005|127106|DCW0348
18647|FRA35520|51732|DLS0001
78356|FRA88150|23233|DCW0450
S00078307|FRA33170|78310|DNA0001
56514|FRA77183|22207|DRW0001
25739|FRA59770|31602|DOS0119
25171|FRA06700|51925|DNA0001
89742|FRA44120|17237|DCW0306
16920|FRA73540|53076|DMS0001
32647|FRA54460|17956|DCW0001
25739|FRA59770|31602|DMS0441
56514|FRA42000|16953|DMS0441
25171|FRA14320|14439|DLS0001
14604|FRA25460|112944|DSW0001
16687|FRA51430|17816|DRW0069
108234|FRA45770|17348|DLS0001
32995|FRA67300-A|20266|DSW0001
6390|FRA77447|22179|DMS0361
110585|FRA74800|48433|DMS0001
14856|FRA95500|24446|DSW0373
S00064602|FRA86000|65134|DNA0514
29578|FRA62730|19582|DSW0001
S00058540|FRA91070BON|73996|DRW0001
45075|FRA69800SAN|117747|DNA0001
30526|FRA59189|19072|DSW0523
S00129343|FRA62250|128374|DSW0001
25784|FRA69003|20896|DMS0001
25149|FRA31400|51562|DNA0397
111409|FRA74190|120475|DMS0001
S00130327|FRA69670|130157|DMS0001
32375|FRA51420|17708|DNA0470
4350|FRA67158|20136|DEW0001
35964|FRA78920 CEDEO |22400|DRW0001
90026|FRA75016|21677|DRW0456
3907|FRA92230|23716|DEW0001
S00129854|FRA76300|127623|DSW0001
27473|FRA13015|14284|DEW0800
13572|FRA74600|32525|DMS0001
7135|FRA59810|18790|DSW0001
24468|FRA78310|12238|DRW0001
89807|FRA33150|30523|DNA0001
16687|FRA51430|17816|DRW0001
89600|FRA34800|16072|DEW0001
109245|FRA86000|108627|DNA0514
66040|FRA69740PER|129923|DMS0001
20798|FRA31770|15435|DNA0691
35806|FRA33700|15932|DNA0001
79551|FRA78120|22493|DNA0001
S00072974|FRA75017|71231|DCW0001
20798|FRA18230DOU|88528|DOS0119
14604|FRA25460|112944|DRW0001
25799|FRA14730|14381|DSW0001
60506|FRA13500|14049|DEW0001
108448|FRA62134|78724|DSW0001
16687|FRA51430|17816|DCW0630
56514|FRA71160|21043|DMS0001
S00129854|FRA93230|127628|DRW0001
14856|FRA95500|24446|DOS0119
86928|FRA69570|100760|DOS0119
35631|FRA74100|21238|DMS0001
52954|FRA38680|80263|DMS0001
56514|FRA62400REXEL|19597|DSW0001
27473|FRA06700|34783|DEW0001
S00129321|FRA03260|128818|DOS0367
16366|FRA29830|30349|DEW0001
100672|FRA74600|21224|DMS0001
53547|FRA91882|23426|DRW0001
108563|FRA95067|24518|DRW0001
79733|FRA38590|30778|DEW0800
56514|FRA63500|19885|DMS0393
14604|FRA25460|112944|DEW0001
56514|FRA92000A|128451|DRW0001
8653|FRA69153|20759|DMS0001
3514|FRA92700|90890|DRW0001
25015|FRA33370TR|90657|DNA0001
14895|FRA60031|19209|DOS0119
78531|FRA72100|21103|DLS0001
101659|FRA73400|21202|DRW0608
25739|FRA59770|31602|DLS0001
20798|FRA74600|21210|DMS0001
3607|FRA35770|29573|DNA0001
27055|FRA75015PAR|99753|DEW0001
7062|FRA01120|13861|DMS0001
2497|FRA13321|14301|DOS0119
S00062761|FRA28260|100459|DRW0001
15779|FRA93140|24003|DRW0184
S00088828|FRA54710|88794|DOS0119
88000|FRA01570|13827|DMS0001
