"PROGRAMME","NOM_COURT","APPLICATION","ANNEE","MOIS","STATUT","NB_EXECUTIONS","DUREE_MOY_MIN","DUREE_MAX_MIN","DUREE_MIN_MIN","DUREE_TOTALE_MIN"
"DKA : Extraction du statut des factures fournisseurs","DKA_SAPEXTSTATFAC","DKA","2026","2026-03","Normal",104,"0.45","0.90","0.23","46.40"
"DKA: Pre Import des clients","DKA_ICLIENTIFS_4","DKA","2026","2026-03","Normal",104,"0.41","1.22","0.00","42.13"
"DKA : Suivi des notifications ouvertes","DKA_SAPSUIVI_NOTIF","DKA","2026","2026-03","Normal",104,"1.07","1.85","0.85","110.80"
"DKA : Chargement du fichier du CDF IVALUA dans la table tmp","DKA_LOAD_IAPCTRFLUX_IVALUA","DKA","2026","2026-03","Normal",104,"0.01","0.02","0.00","0.67"
"DKA : Import des contrats SSTR depuis iValua - Chargement des fichiers","DKA_IPOCTR_SSTR_IVALUA_LOADER","DKA","2026","2026-03","Normal",104,"0.24","0.32","0.17","25.07"
"DKA : ClÃ´ture de la pÃ©riode FA","DKA_SFACLOTURE","DKA","2026","2026-03","Warning",104,"4.97","7.77","1.02","516.67"
"DKA : Import des images des factures INVOICE","DKA_APLOADIMG","DKA","2026","2026-03","Normal",104,"0.92","1.48","0.67","96.13"
"DKA : Import des donnÃ©es RÃ©ceptions depuis iValua Loader","DKA_IPORECEPTION_IVALUA_LOADER","DKA","2026","2026-03","Normal",96,"0.19","0.25","0.17","18.00"
"DKA : Rattachement de l'avis de prÃ©lÃ¨vement au rÃ¨glement AR","DKA_SARPREL_ATTACH","DKA","2026","2026-03","Normal",96,"0.14","1.32","0.00","13.07"
"DKA : Campagne de prÃ©lÃ¨vements Clients - CrÃ©ation du fichier DDIMPORT","DKA_CREATE_DDIMPORT_FILE","DKA","2026","2026-03","Normal",96,"0.01","0.02","0.00","1.07"
"DKA : Extraction du contrÃ´le de flux","DKA_SCTLFLUX_EAI","DKA","2026","2026-03","Normal",96,"43.65","145.77","5.07","4190.67"
"DKA : Import des Factures clients","DKA_IARPAFAC","DKA","2026","2026-03","Normal",96,"3.53","15.15","0.03","338.53"
"DKA : Chargement du fichier du CDF Xerox dans la table tmp","DKA_LOAD_IAPCTRFLUX_XEROX","DKA","2026","2026-03","Normal",96,"0.01","0.02","0.00","0.67"
"DKA : Insertion des donnÃ©es CDF Xerox dans la table d'interface","DKA_INSERT_CDF_XEROX","DKA","2026","2026-03","Normal",96,"0.00","0.02","0.00","0.27"
"DKA : Generer des comptes","DKA_FAGDA","DKA","2026","2026-03","Normal",96,"0.35","0.37","0.35","34.00"
"DKA : Mise Ã  jour des rattachements de sites fournisseurs sur commande ouverte globale","DKA_SPODUPSITECOG","DKA","2026","2026-03","Normal",96,"0.84","1.05","0.72","80.93"
"DKA : Export des donnÃ©es Factures vers iValua","DKA_IAPFAC_IVALUA","DKA","2026","2026-03","Normal",96,"23.67","27.32","20.90","2272.67"
"DKA : GÃ©nÃ©ration des Etats de rapprochement AP/RB","DKA_RAPCTRLPRLVT","DKA","2026","2026-03","Normal",96,"0.05","0.07","0.03","4.40"
"DKA : Extraction des Ã©vÃ¨nements AR","DKA_IAR_EVENEMENTS_DTR","DKA","2026","2026-03","Normal",96,"0.08","0.18","0.05","7.87"
"DKA : Comptabilisation des rÃ¨glements pour la campagne de prÃ©lÃ¨vement AP - RB","DKA_SAPPRELAUTORB_COMPTA","DKA","2026","2026-03","Normal",96,"1.58","2.12","0.85","151.60"
"DKA : Export du rÃ©fÃ©rentiel employÃ© vers NOTILUS","DKA_IAPEMPLNOT","DKA","2026","2026-03","Normal",96,"0.21","0.48","0.07","20.53"
"DKA : Import des clients : Pre Open Interface","DKA_ICLIENTIFS_1","DKA","2026","2026-03","Warning",96,"232.24","942.00","0.43","22295.07"
"DKA : CrÃ©ation des rÃ¨glements pour la campagne de prÃ©lÃ¨vement AP - RB","DKA_PREL_AP_RB_CREA","DKA","2026","2026-03","Normal",96,"22.68","87.40","4.73","2177.33"
"DKA : Alimentation de la rÃ©fÃ©rence pour la ligne GL dans RB","DKA_SRBALIMREF","DKA","2026","2026-03","Normal",96,"0.01","0.02","0.00","0.67"
"DKA : Envoi des Ã©tats de prÃ©lÃ¨vement automatique fournisseur par mail","DKA_ENVOI_MAIL_PRLVT","DKA","2026","2026-03","Normal",96,"0.34","0.35","0.33","32.40"
"DKA : Calculer les plus- et moins-values","DKA_FARET","DKA","2026","2026-03","Normal",96,"38.92","46.35","29.37","3736.00"
"DKA - Alimenter les rÃ©fÃ©rences de facture AP dans RB","DKA_ALIMREFFACTURE_AP_RB","DKA","2026","2026-03","Normal",96,"1.02","2.07","0.67","97.47"
"XXRB - Import des mouvements comptables","RBINTOAF","XXRB","2026","2026-03","Normal",96,"1.98","3.70","1.52","190.40"
"DKA : Export journalier des fournisseurs","DKA_APFRSEXP_JOUR","DKA","2026","2026-03","Normal",96,"9.04","11.12","7.63","868.00"
"DKA : Extraction des coordonnÃ©es bancaires","DKA_ICE_BANKBRANCHES_DTR","DKA","2026","2026-03","Normal",96,"0.16","0.22","0.10","15.20"
"DKA - Identification des factures AP Ã©ligibles au rapprochement RB","DKA_SRBFACTURE_AP","DKA","2026","2026-03","Normal",96,"6.57","10.97","3.92","630.40"
"DKA : Export des images Factures vers iValua","DKA_IAPIMG_IVALUA","DKA","2026","2026-03","Normal",96,"1.23","2.05","0.65","118.27"
"DKA : Flux SI / CM - Extraction en cours recouvrement","DKA_IAR_ENCOURS_REC_SICM","DKA","2026","2026-03","Normal",96,"5.73","6.97","5.17","549.87"
"CrÃ©er des lots de rÃ¨glements","IBY_FC_CREATE_SETTLE_BATCHES","IBY","2026","2026-03","Normal",96,"0.22","0.93","0.08","20.80"
"DKA : Extraction du statut des factures TradeShift","DKA_IAPFACTTDS","DKA","2026","2026-03","Normal",96,"10.42","18.15","1.60","1000.00"
"DKA - PRC : Valider l'importation des lignes d'immobilisation dans Oracle Assets","DKA_PACFATBP","DKA","2026","2026-03","Normal",96,"0.35","0.37","0.33","33.60"
"DKA : Automatisation avis de prÃ©lÃ¨vements clients","DKA_SARAVIPRELEV","DKA","2026","2026-03","Normal",96,"16.32","155.43","0.33","1566.80"
"Progr. trait. simultanÃ©s maÃ®tre interface clients","RACUSTMA","AR","2026","2026-03","Normal",88,"59.04","182.82","23.00","5195.87"
"DKA : Interface Employes vers Oracle","DKA_IHREMP_INTERFACE","DKA","2026","2026-03","Normal",88,"1.07","1.47","0.95","94.40"
"DKA : Import des contrats SSTR depuis iValua","DKA_IPO_SSTR_IVALUA","DKA","2026","2026-03","Warning",88,"0.58","0.62","0.57","51.47"
"DKA: Import des clients OI","DKA_ICLIENTIFS_3","DKA","2026","2026-03","Normal",88,"59.22","183.00","23.33","5210.93"
"DKA : ContrÃ´le des flux IVALUA","DKA_IAPCTRFLUX_IVALUA","DKA","2026","2026-03","Normal",80,"0.01","0.02","0.00","0.80"
"DKA : Consolidation VECTOR","DKA_IEOGLVEC01_MAIN","DKA","2026","2026-03","Erreur",80,"0.00","0.02","0.00","0.27"
"DKA : Export et envoi vers IVALUA des transferts de commandes Ã  un tiers","DKA_EXPCDE_TRANSFRS_IVALUA","DKA","2026","2026-03","Normal",80,"0.01","0.02","0.00","0.80"
"DKA : CrÃ©ation des encaissements clients pour le compte de","DKA_SARAUTENC","DKA","2026","2026-03","Normal",80,"0.08","0.12","0.05","6.13"
"Phase du jeu de traitements","FNDRSSTG","FND","2026","2026-03","Erreur",72,"193.09","658.92","0.02","13902.67"
"XXRB - Simulation rapprochement automatique","RBMATSIM","XXRB","2026","2026-03","Normal",72,"0.51","0.52","0.50","36.53"
"DKA : ContrÃ´le des flux IVALUA","DKA_IAPCTRFLUX_IVALUA","DKA","2026","2026-03","Warning",72,"0.01","0.02","0.00","0.80"
"DKA : Balance VECTOR","DKA_IEOGLVEC01_RDF","DKA","2026","2026-03","Normal",64,"0.22","0.68","0.08","14.27"
"DKA : ContrÃ´le des flux XEROX","DKA_IAPCTRFLUX_XEROX","DKA","2026","2026-03","Normal",64,"0.02","0.02","0.02","1.07"
"DKA : Consolidation VECTOR","DKA_IEOGLVEC01_MAIN","DKA","2026","2026-03","Normal",64,"0.79","2.28","0.28","50.53"
"DKA : Fermeture dÃ©finitive des commandes PO par rÃ©gion","DKA_SPOCLOSCOM_PR","DKA","2026","2026-03","Normal",64,"0.25","0.63","0.08","15.73"
"DKA : GÃ©nÃ©ration du fichier VECTOR","DKA_IEOGLVEC01_FILE","DKA","2026","2026-03","Normal",64,"0.02","0.02","0.02","1.07"
"DKA : Import des clients : Post Open Interface","DKA_ICLIENTIFS_2","DKA","2026","2026-03","Normal",64,"1.81","5.97","0.47","115.73"
"Jeu d'Ã©tats","FNDRSSUB","FND","2026","2026-03","Erreur",64,"694.78","1538.10","0.02","44465.73"
"DKA : Copie en haut volume pÃ©riodique","DKA_FAMCP","DKA","2026","2026-03","Warning",56,"0.68","0.68","0.68","38.27"
"DKA : RÃ¨glements automatiques des prÃ©lÃ¨vements clients","DKA_SARAUTOPRELEV","DKA","2026","2026-03","Normal",56,"64.37","197.35","2.43","3604.80"
"Programme de configuration comptable General Ledger","GLSTFL","SQLGL","2026","2026-03","Normal",48,"0.01","0.02","0.00","0.53"
"Compiler hiÃ©rarchies jeux de valeurs","FDFCHY","FND","2026","2026-03","Normal",48,"0.01","0.02","0.00","0.40"
"DKA : ContrÃ´le des flux XEROX","DKA_IAPCTRFLUX_XEROX","DKA","2026","2026-03","Warning",40,"0.02","0.03","0.02","0.80"
"DKA - Interface lignes d'Ã©critures comptables vers HYPERION - QuantitÃ©s","DKA_IHYPERION_QTE","DKA","2026","2026-03","Normal",40,"1.13","1.38","0.75","45.20"
"Validation de factures","APPRVL","SQLAP","2026","2026-03","Erreur",40,"0.77","1.03","0.62","30.93"
"DKA : Mise Ã  jour commande - Imputations comptables","DKA_SPOMAJIC","DKA","2026","2026-03","Warning",40,"0.01","0.02","0.00","0.53"
"DKA : EchÃ©ancier provisoire tous Soc/CdG","DKA_SAPXCRRCR","DKA","2026","2026-03","Normal",40,"6.21","6.62","6.10","248.53"
"DKA : Balance Ã¢gÃ©e fournisseurs","DKA_APXINAGE","DKA","2026","2026-03","Normal",40,"0.27","0.47","0.10","10.67"
"DKA : ContrÃ´le DAS2","DKA_SAPDAS2_CTL","DKA","2026","2026-03","Annule",40,"","","",""
"DKA : Copie en haut volume pÃ©riodique","DKA_FAMCP","DKA","2026","2026-03","Normal",40,"0.68","0.68","0.68","27.33"
"DKA : Mise Ã  jour commande - CUF Paiement Direct","DKA_SPOMAJPD","DKA","2026","2026-03","Normal",40,"0.01","0.02","0.00","0.40"
"XXRB - Rapprochement","RBMATCHG","XXRB","2026","2026-03","Erreur",40,"2.90","7.15","0.02","116.13"
"DKA : RÃ¨glements automatiques des prÃ©lÃ¨vements clients","DKA_SARAUTOPRELEV","DKA","2026","2026-03","Warning",40,"0.57","0.70","0.38","22.93"
"DKA - Interface lignes d'Ã©critures comptables vers HYPERION","DKA_IHYPERION","DKA","2026","2026-03","Normal",40,"6.53","7.32","5.48","261.33"
"DKA : Rapprochement automatique RB sur toutes sociÃ©tÃ©s","DKA_SRBRAPAUTO","DKA","2026","2026-03","Warning",32,"4.00","7.50","1.00","128.13"
"XXRB - Rapprochement automatique","RBMATRUN","XXRB","2026","2026-03","Erreur",32,"3.75","7.25","0.75","120.00"
"Purge les journaux et les alertes systÃ¨me fermÃ©es.","FNDLGPRG","FND","2026","2026-03","Normal",32,"0.69","1.23","0.33","22.00"
"DKA : Automate Etat des avoirs Ã  rembourser","DKA_AUT_SARETAT_AVOIR","DKA","2026","2026-03","Normal",32,"0.34","0.35","0.33","10.93"
"DKA : Refacturation automatique (impression)","DKA_SARREFAC_PRT","DKA","2026","2026-03","Normal",32,"1.00","2.30","0.32","31.87"
"DKA : Refacturation automatique","DKA_SARREFAC","DKA","2026","2026-03","Normal",32,"18.76","47.63","7.68","600.27"
"XXRB - Situation du rapprochement","RBEDDTAG","XXRB","2026","2026-03","Normal",32,"0.07","0.08","0.07","2.27"
"DKA - FA : Copie en haut volume pÃ©riodique","DKA_FA_FAMCP","DKA","2026","2026-03","Normal",32,"0.34","0.35","0.33","10.93"
"Imprimer des remises en banque","ARXAPFRM","AR","2026","2026-03","Normal",32,"0.09","0.10","0.08","2.93"
"DKA : Import des clients : Post Open Interface","DKA_ICLIENTIFS_2","DKA","2026","2026-03","Erreur",24,"491.84","658.87","267.25","11804.13"
"DKA : Imputation GL","DKA_SGLIMPUTATION","DKA","2026","2026-03","Warning",24,"7.12","20.68","0.33","170.80"
"Receivables Receipt Analyzer","ARRCTANLZ","AR","2026","2026-03","Normal",24,"1.88","1.97","1.82","45.20"
"DKA : Situation Oracle du matin","DKA_SCTRLMOD_MOA_EDT","DKA","2026","2026-03","Erreur",24,"39.73","92.73","11.62","953.60"
"DKA : RÃ¨glements automatiques toutes sociÃ©tÃ©s des factures fournisseurs","DKA_SAPAUTORGT","DKA","2026","2026-03","Warning",24,"38.22","86.48","11.63","917.33"
"Collecter les statistiques du schÃ©ma","FNDGSCST","FND","2026","2026-03","Erreur",24,"356.99","363.83","353.18","8567.73"
"DKA : Etat dÃ©claratif de la TVA dans GL","DKA_GL_DECLAR_TVA","DKA","2026","2026-03","Normal",16,"0.06","0.07","0.05","0.93"
"XXRB - Rapprochement automatique","RBMATRUN","XXRB","2026","2026-03","Warning",16,"7.63","7.75","7.52","122.13"
"Services d'annuaire de Workflow - Validation des combinaisons utilisateur/rÃ´le","FNDWFDSURV","FND","2026","2026-03","Normal",16,"0.02","0.02","0.02","0.27"
"DKA : Lancement de crÃ©ation des lots de rÃ¨glements","DKA_SARRGLTPRLV_CREATE_AUT","DKA","2026","2026-03","Warning",16,"55.38","73.17","37.60","886.13"
"DKA : Extraction En-cours Recouvrement","DKA_ENCOURS_RECOUVREMENT","DKA","2026","2026-03","Normal",16,"0.37","0.40","0.33","5.87"
"Imputation des acquisitions crÃ©Ã©es en haut volume","FAMAPT","OFA","2026","2026-03","Erreur",16,"0.01","0.02","0.00","0.13"
"DKA : Lancement de confirmation des lots de rÃ¨glements","DKA_SARRGLTPRLV_CONFIRM_AUT","DKA","2026","2026-03","Warning",16,"3.52","4.68","2.35","56.27"
"DKA : Automate Etat SÃ©lection des avoirs non soldÃ©s Ã  rembourser","DKA_AUTO_SARSELECAVOIR","DKA","2026","2026-03","Normal",16,"0.36","0.37","0.35","5.73"
"DKA : Balance Ã¢gÃ©e client par chargÃ© de recouvrement (PDF)","DKA_RARBALCHARGPDF","DKA","2026","2026-03","Normal",16,"0.24","0.25","0.23","3.87"
"Diagnostics : ContrÃ´le Apps","OMCHECK","ONT","2026","2026-03","Normal",16,"1.31","1.35","1.27","20.93"
"DKA : Import des contrats SSTR depuis iValua","DKA_IPO_SSTR_IVALUA","DKA","2026","2026-03","Normal",16,"0.58","0.58","0.57","9.20"
"XXRB - Rapprochement","RBMATCHG","XXRB","2026","2026-03","Warning",16,"6.33","6.37","6.28","101.20"
"DKA : Transfert d'Ã©critures GL vers PA","DKA_SPACUTOFF_TRANSFER","DKA","2026","2026-03","Erreur",16,"1.75","1.80","1.70","28.00"
"DKA : Mise Ã  jour commande - CUF Paiement Direct","DKA_SPOMAJPD","DKA","2026","2026-03","Warning",16,"0.01","0.02","0.00","0.13"
"DKA : GÃ©nÃ©ration des piÃ¨ces rÃ©pÃ©titives","DKA_SGLABONNEMENT","DKA","2026","2026-03","Warning",16,"6.24","12.30","0.18","99.87"
"DKA : Registre des rÃ¨glements non lettrÃ©s","DKA_ARXCOA2","DKA","2026","2026-03","Normal",16,"2.68","3.15","2.22","42.93"
"DKA : GÃ©nÃ©ration des piÃ¨ces rÃ©pÃ©titives - Compte Rendu par CdG","DKA_SGLABONNEMENT_CR","DKA","2026","2026-03","Warning",16,"0.00","0.00","0.00","0.00"
"DKA : Solde des avoirs et crÃ©ation des remboursements","DKA_SARSOLDEAVOIR","DKA","2026","2026-03","Normal",8,"1.12","1.12","1.12","8.93"
"DKA : Envoi par mail des fichiers de situation Oracle du matin","DKA_SCTRLMOD_MOA_MAIL","DKA","2026","2026-03","Erreur",8,"0.00","0.00","0.00","0.00"
"Receivables Transaction Analyzer","ARTRXANLZ","AR","2026","2026-03","Normal",8,"2.02","2.02","2.02","16.13"
"DKA : Cloture de la pÃ©riode AP","DKA_SAPCLOTURE","DKA","2026","2026-03","Normal",8,"1.42","1.42","1.42","11.33"
"Payables Invoice Analyzer","APEBTAXAZ","SQLAP","2026","2026-03","Normal",8,"17.73","17.73","17.73","141.87"
"Master GDF Diagnostic Analyzer - SINGLE","APGDFVAL_S","SQLAP","2026","2026-03","Normal",8,"5.62","5.62","5.62","44.93"
"DKA : Transfert d'Ã©critures GL vers PA","DKA_SPACUTOFF_TRANSFER","DKA","2026","2026-03","Warning",8,"15.92","15.92","15.92","127.33"
"DKA : Fermeture automatique des commandes intragroupe CITY","DKA_SPOAUTCMD_CITY","DKA","2026","2026-03","Warning",8,"0.82","0.82","0.82","6.53"
"ResponsabilitÃ©s et utilisateurs actifs","FNDSCARU","FND","2026","2026-03","Normal",8,"0.10","0.10","0.10","0.80"
"DKA : Ouverture PÃ©riode AP et Transfert des mouvements non ComptabilisÃ©s","DKA_XDODTEXE","DKA","2026","2026-03","Normal",8,"2.37","2.37","2.37","18.93"
"Utilisateurs actifs","FNDSCURS","FND","2026","2026-03","Normal",8,"0.10","0.10","0.10","0.80"
"DKA : Programme - Contrepassation automatique","DKA_GLPARV","DKA","2026","2026-03","Normal",8,"758.80","758.80","758.80","6070.40"
"Balance - Grand format","GLYRLBGE","SQLGL","2026","2026-03","Normal",8,"0.83","0.83","0.83","6.67"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua - Chargement des fichiers","DKA_IPOFRS_IVALUA_LOADER","DKA","2026","2026-03","Erreur",8,"0.02","0.02","0.02","0.13"
"XXRB - Simulation rapprochement automatique","RBMATSIM","XXRB","2026","2026-03","Erreur",8,"0.25","0.25","0.25","2.00"
"DKA : GÃ©nÃ©ration des piÃ¨ces rÃ©pÃ©titives","DKA_SGLABONNEMENT","DKA","2026","2026-03","Normal",8,"0.72","0.72","0.72","5.73"
"DKA : Etat justificatif de l'en-cours de TVA sur encaissement","DKA_AR_JUST_TVA_ENC","DKA","2026","2026-03","Normal",8,"1.90","1.90","1.90","15.20"
"DKA : Chargement du fichier du CDF Xerox dans la table tmp","DKA_LOAD_IAPCTRFLUX_XEROX","DKA","2026","2026-03","Erreur",8,"0.02","0.02","0.02","0.13"
"XXRB - Liste des mouvements sur consultation","RBEDLINE","XXRB","2026","2026-03","Erreur",8,"0.07","0.07","0.07","0.53"
"DKA - Demande de traitement pour recalculer les rÃ¨glements","DKA_APXRECLC","DKA","2026","2026-03","Normal",8,"79.43","79.43","79.43","635.47"
"DKA : Fermeture dÃ©finitive des commandes PO","DKA_SPOCLOSCOM","DKA","2026","2026-03","Normal",8,"3.02","3.02","3.02","24.13"
"XXRB - Simulation rapprochement automatique + Ã©dition","RBMATSIM_U","XXRB","2026","2026-03","Normal",8,"0.52","0.52","0.52","4.13"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua","DKA_IPOFRS_IVALUA","DKA","2026","2026-03","Erreur",8,"0.53","0.53","0.53","4.27"
"DKA : Solde des avoirs et crÃ©ation des remboursements","DKA_SARSOLDEAVOIR","DKA","2026","2026-03","Warning",8,"2.25","2.25","2.25","18.00"
"DKA : Automate France - DAS2 DÃ©tail par fournisseur","DKA_AUTO_SAPDAS2_GEN","DKA","2026","2026-03","Warning",8,"3.35","3.35","3.35","26.80"
"DKA : Campagne de lettrage Ã  0","DKA_SAPLETMVTZERO","DKA","2026","2026-03","Normal",8,"15.73","15.73","15.73","125.87"
"DKA : Import des clients : Pre Open Interface","DKA_ICLIENTIFS_1","DKA","2026","2026-03","Erreur",8,"258.53","258.53","258.53","2068.27"
"DKA : Automatisation envoi avis de virement par mail","DKA_SAPAUTOVIR_MAIL","DKA","2026","2026-03","Warning",8,"0.67","0.67","0.67","5.33"
"DKA : CrÃ©ation des encaissements clients pour le compte de","DKA_SARAUTENC","DKA","2026","2026-03","Warning",8,"0.08","0.08","0.08","0.67"
"DKA : TVA Collectee : Ã©tat prÃ©paratoire","DKA_TVACOLLECTEE","DKA","2026","2026-03","Normal",8,"0.53","0.53","0.53","4.27"
"Imputation","GLPPOS","SQLGL","2026","2026-03","Warning",8,"20.37","20.37","20.37","162.93"
"DKA : Compression de fichier zip","DKA_COMPRESS_FILE_ZIP","DKA","2026","2026-03","Normal",8,"0.00","0.00","0.00","0.00"
"DKA : Envoi par mail paiement intra groupe AP/AR","DKA_SARENCAIS_MAIL","DKA","2026","2026-03","Normal",8,"0.35","0.35","0.35","2.80"
"Copier automatiquement des piÃ¨ces","GLJRNAUTOC","SQLGL","2026","2026-03","Normal",8,"0.00","0.00","0.00","0.00"
"DKA : Paiement intra groupe AP/AR","DKA_SARENCAIS","DKA","2026","2026-03","Warning",8,"114.67","114.67","114.67","917.33"
"DKA: Etat AR Balance Ã¢gÃ©e TOUTES SOCIETES par chargÃ© de recouvrement","DKA_RARBALCHAR_SOC","DKA","2026","2026-03","Normal",8,"0.07","0.07","0.07","0.53"
"DKA : Automate France - DAS2 Etat papier du fichier Ã©lectronique","DKA_AUTO_JEFRDVER01","DKA","2026","2026-03","Warning",8,"3.75","3.75","3.75","30.00"
"DKA : Envoi avis de virement par mail","DKA_SAPVIR_MAIL","DKA","2026","2026-03","Warning",8,"0.02","0.02","0.02","0.13"
"DKA : Duplication en masse des sites fournisseurs","DKA_SAPFRSDUPLI_MASSE","DKA","2026","2026-03","Annule",8,"","","",""
"XXRB - Etat de rapprochement","RBMAED01","XXRB","2026","2026-03","Normal",8,"0.07","0.07","0.07","0.53"
"Annuler la demande de traitement des rÃ¨glements","APXCNCLB","SQLAP","2026","2026-03","Normal",8,"0.00","0.00","0.00","0.00"
"DKA : Imputation des charges d'achats","DKA_SPOCHARGE","DKA","2026","2026-03","Normal",8,"129.77","129.77","129.77","1038.13"
"DKA : Import des donnÃ©es RÃ©ceptions depuis iValua","DKA_IPORECEPTION_IVALUA","DKA","2026","2026-03","Erreur",8,"0.38","0.38","0.38","3.07"
"DKA : Automate ContrÃ´le DAS2","DKA_AUTO_SAPDAS2_CTL","DKA","2026","2026-03","Normal",8,"1.15","1.15","1.15","9.20"
"DKA : Import des donnÃ©es RÃ©ceptions depuis iValua Loader","DKA_IPORECEPTION_IVALUA_LOADER","DKA","2026","2026-03","Erreur",8,"0.02","0.02","0.02","0.13"
"DKA : IntÃ©gration des factures XEROX","DKA_IAPFACXGS","DKA","2026","2026-03","Warning",8,"55.85","55.85","55.85","446.80"
"CrÃ©er une comptabilisation - Immobilisations","FAACCPB","OFA","2026","2026-04","Normal",57904,"0.10","0.67","0.05","5998.27"
"CrÃ©er une comptabilisation","XLAACCPB","XLA","2026","2026-04","Normal",55752,"0.77","105.25","0.07","43015.33"
"DKA : CrÃ©ation du fichier avis de virement","DKA_RAPVIR_PDF","DKA","2026","2026-04","Normal",53848,"0.11","0.28","0.05","5841.60"
"DKA : CrÃ©ation blocages comptabilisation factures AP","DKA_SAPCREATE_BLOCAGES","DKA","2026","2026-04","Normal",47488,"0.02","0.37","0.00","1032.40"
"EasyLink","GLLEZL","SQLGL","2026","2026-04","Normal",46504,"0.04","4.78","0.00","1697.87"
"PRC : Valider l'importation des lignes d'immobilisation dans Oracle Assets","PACFATBP","PA","2026","2026-04","Normal",35064,"0.01","0.05","0.00","423.60"
"Programme de demande de traitement des rÃ¨glements","APXPBASL","SQLAP","2026","2026-04","Normal",33248,"0.02","0.15","0.00","559.20"
"Programme d'importation de l'interface coopÃ©rative d'Oracle Payables","APXIIMPT","SQLAP","2026","2026-04","Normal",33056,"0.12","29.85","0.05","3997.33"
"Traitement du processeur enfant de validation de factures","WORKERAPPRVL","SQLAP","2026","2026-04","Normal",32408,"3.63","40.48","0.02","117677.07"
"Calculer les plus- et moins-values","FARET","OFA","2026","2026-04","Normal",29232,"0.01","0.08","0.00","263.33"
"GÃ©nÃ©rer des comptes","FAGDA","OFA","2026","2026-04","Normal",29216,"0.02","0.18","0.00","609.33"
"DKA : CrÃ©er une comptabilisation - Immobilisations (Lancement de SFAACCPB)","DKA_SFAACCPB","DKA","2026","2026-04","Normal",29040,"0.51","1.52","0.00","14834.53"
"Programme de comptabilisation","XLAACCUP","XLA","2026","2026-04","Normal",27624,"1.00","104.77","0.00","27630.80"
"Copie en haut volume pÃ©riodique","FAMCP","OFA","2026","2026-04","Normal",26600,"0.05","0.13","0.00","1288.40"
"Mettre Ã  jour les soldes de comptabilitÃ© auxiliaire","XLABAPUB","XLA","2026","2026-04","Normal",26392,"0.01","0.15","0.00","196.00"
"Traitement de processeur du gestionnaire de donnÃ©es des soldes de comptes non soldÃ©s","XLATBDMW","XLA","2026","2026-04","Normal",24960,"0.01","0.13","0.00","162.80"
"Gestionnaire de donnÃ©es des soldes de comptes non soldÃ©s","XLATBDMG","XLA","2026","2026-04","Normal",24960,"0.09","0.18","0.08","2217.20"
"Validation de factures","APPRVL","SQLAP","2026","2026-04","Normal",24904,"3.63","44.20","1.78","90506.13"
"RÃ¨glements/remises automatiques exÃ©cutÃ©s","ARZCARPO","AR","2026","2026-04","Normal",22832,"0.07","0.12","0.05","1680.67"
"Programme de crÃ©ation de rÃ¨glements automatiques (API)","AR_AUTORECAPI","AR","2026","2026-04","Normal",21792,"0.56","1.32","0.50","12302.13"
"Collection de tableaux de bord pour les applications OAM","FNDOAMCOL","FND","2026","2026-04","Normal",18648,"0.29","2.28","0.12","5314.93"
"AUD : Audit de transfert des coÃ»ts fournisseur","PAAPIMPR","PA","2026","2026-04","Normal",16232,"0.29","0.55","0.05","4786.00"
"PRC : TransfÃ©rer les coÃ»ts fournisseur","PAAPIMP_SI","PA","2026","2026-04","Normal",14984,"0.23","5.17","0.00","3517.20"
"DKA : Lanceur (SHELL)","DKA_SLAUNCHER","DKA","2026","2026-04","Normal",13560,"15.58","9004.20","0.00","211201.73"
"Etat relatif Ã  la sÃ©lection de l'Ã©chÃ©ancier de paiement","APINVSEL","SQLAP","2026","2026-04","Normal",9728,"0.06","0.28","0.05","575.87"
"CrÃ©er des rÃ¨glements","IBYBUILD","IBY","2026","2026-04","Normal",9720,"0.08","0.30","0.07","763.60"
"Phase du jeu de traitements","FNDRSSTG","FND","2026","2026-04","Warning",8952,"3.85","984.63","0.02","34439.60"
"Formater les instructions de rÃ¨glement avec sortie texte","IBY_FD_PAYMENT_FORMAT_TEXT","IBY","2026","2026-04","Normal",8752,"0.09","0.45","0.07","802.00"
"Phase du jeu de traitements","FNDRSSTG","FND","2026","2026-04","Normal",8752,"3.77","467.35","0.00","33036.27"
"DKA : Echeancier Fournisseur Provisoire","DKA_APXCRRCR","DKA","2026","2026-04","Normal",8688,"2.18","3.93","1.05","18946.67"
"Importer des commandes standard","POXPOPDOI","PO","2026","2026-04","Normal",8264,"0.34","2.73","0.00","2770.13"
"CrÃ©er un numÃ©ro de sÃ©quence de reporting","XLAREPSEQ","XLA","2026","2026-04","Normal",8208,"0.00","0.02","0.00","30.93"
"DKA : Etat de contrÃ´le des retraitements IFRS","DKA_SGLCTRLFLUXIFRS","DKA","2026","2026-04","Normal",7360,"0.08","0.38","0.00","623.20"
"DKA : Import des donnees depuis l'open Interface AP","DKA_OPEN_INTERFACE_AP_EAI","DKA","2026","2026-04","Normal",7064,"10.33","111.93","0.32","72976.00"
"PÃ©riodes - Ouvrir des pÃ©riodes","GLOOAP","SQLGL","2026","2026-04","Normal",5496,"0.22","9.30","0.00","1213.07"
